Text,Label,pred_LR_best
indiafightscorona major highlights week 4 5 crore tests conducted far last 24 hrs 11 lakh samples tested recovered patients crossed 29 lakhs unlock4 guidelines issued hmoindia secretary mohfw india,0,0
groups higher risk severe illness,0,0
news man set home gym start lockdown seriously considering third workout,1,1
fightingcovid19 long vaccine really take difficult get covid vaccine could potential complexity experts say watch newstrack live rahulkanwal pic twitter com ja5vbigmhc,0,0
facebook users claim video shows french doctors throwing coats floor protest corona fraud,1,1
corona virus nearly deadly thought,1,1
unclear official guidelines authorities regarding outdoor activities denmark televised news report showing people outdoors close proximity casusing social media outrage,1,1
four private laboratories thyrocare suburban diagnostics metropolis healthcare ltd hn reliance foundation hospital received approval indian council medical research carry covid 19 tests,0,0
indiafightscorona 5 states maharashtra andhra pradesh karnataka uttar pradesh amp tamil nadu account 62 total active cases country secretary mohfw india staysafe indiawillwin icmrdelhi,0,0
congress mp dr shashi tharoor praised ldf government kerala india covid 19 relief work,1,1
would volunteer get coronavirus,0,1
coronavirus live updates 29 naval personnel ins parundu test covid 19 positive,0,0
young healthy people barely sick covid 19 dying strokes,0,0
cdc discourages many halloween activities,0,0
public inquiry 10 covid 19 response inevitable peer says,0,0
indiafightscorona steep exponential rise daily testing cumulative tests nearing 4 7 crore cumulative tests date reached 46679145 details mohfw india icmrdelhi drharshvardhan staysafe indiawillwin,0,0
number people working home expected double following coronavirus pandemic new research suggests,0,0
cdc monitoring 15 different models forecast possible covid19 deaths us may 18 national forecasts suggest increase total number deaths slow exceed 110000 june 13 check state forecast,0,0
andhra pradesh chief minister ys jagan reddy claimed paracetamol medication coronavirus,1,1
picture quote attributed nobel prize nis mukwege says obliged classify recent demises covid 19 related deaths,1,1
six thousand people deliberately convert christianity venezuela terrible struggle corunavirus,1,1
indiafightscorona yet another peak scaled india registers highest single day recoveries 81000 last 24 hours recovered patients exceed active cases 26 6 lakh,0,0
wondering daily activities safely protecting loved ones covid19 help determine level risk answer questions deciding go,0,0
public health authorities deploy 5 000 emotionally absent fathers teach public social distancing covid 19 coronaviruspandemic,1,0
cop extorting money migrant labourers want return home due lockdown,1,1
cto important new md title created address coronavirus,0,1
influenza vaccine fluzone deadly covid 19,1,1
president trump forced wear protective medical mask donaldtrump coronavirus cia fbi iud,1,1
according plandemic documentary flu shots contain coronavirus,1,1
kargil north kanyakumari south porbandar west lohit northeast 284 indian districts least one covid 19 case april 8 map shows districts least one covid 19 case,0,0
anubis logo covid testing center,1,0
facebook using pictures posts lawsuits company amid covid 19 pandemic,1,1
flu amp covid19 spread symptoms appear flu virus may spread 1 day symptoms virus causes covid 19 may spread 2 days symptoms similarities differences flu amp covid 19,0,0
data says must act health secretary matt hancock says new restrictions brought northumberland north tyneside south tyneside newcastle upon tyne gateshead sunderland county durham get story,0,0
two covid 19 positive cases bihar kishanganj bhagalpur districts two males take total number state 549 reports amarnathtewary covid19 bihar,0,0
asymptomatic people coronavirus spread virus,1,1
coronavirus living legend doctor alfa saadu dies covid 19,0,1
text circulating macedonia claims huge difference terms recover cured order someone cured receive medicine,1,1
type cells novel coronavirus attack,0,1
fact checked kamala harris hillary clinton barack obama dnc speeches last night along former obama harris issued scathing indictment president donald trump handling covid 19 pandemic,1,1
mayor covid 19 order kansas city churchgoers must register government,1,1
importance self care difficult times,0,0
food drug administration fda authorized bodysphere two minute covid 19 testing kit,1,0
air conditioners fans may help spread coronavirus,0,0
brazil shadow laid back uruguay curbs covid 19 pic twitter com ii391s5kim,0,0
coronavirus found toilet paper,1,1
fauci need uniform approach,0,0
order communist globalist dictator demodoria unconstitutional illegal people turned cattle hypnotic propaganda great merdia extrema unforesele farce virus chines come mass streets leaving staying streets even camping front alesp ibirapuera park sign civil disobedience force alesp impact demon least save brazil economy conservatives claim patriotic love brazil really take money pocket making kitty fight court fucking decree,1,1
little week covid 19 spread 44 staff campers georgia sleep away camp,0,0
text lithuanian excerpted letter claims measures genocide pandemic real,1,1
see believe looking record coronavirus showed number contaminated larger number heales hand put globe sick stay negative charge information wonder sense spreading panic among people lot people already warned reluctant prove today definitely bye bye globo news keep seeing comes depression,0,0
jan 22 feb 5 fact checkers worldwide collaboration factchecknet published 211 fact checks covid19 virus 12 photos videos claims verified correct via factchecknet qanda factcheck,1,1
bill gates world bank lost billions trump amid coronavirus outbreak,1,1
voices pandemic life becomes covid 19 go away,0,0
breaking government tells people unable take covid tests allowed use predicted results,1,1
therapeutic communities tuesday 31 03 follow prevention care measures units depending emergency public health national importance due human infection new coronaviruses covid 19 orientation published official gazette ministry citizenship ordinance 340 units must follow guidelines ministry health learn link,0,0
guidance child care programs remain open,0,0
photo vaccine developed u scientists covid 19,1,1
arizona put somewhat encouraging set numbers unclear beginning real downward trend bumps upward trajectory,0,0
due covid 19 outbreak upsc cancelled examinations india,1,1
labor day festivities expected cause surge covid cases college school reopenings experts recommend social distancing mask wearing testing choose celebrate read cnn,0,0
tamil nadu monday reported 527 new covid 19 cases large number linked koyambedu market chennai chennai tamilnadu covid19,0,0
information cdc partner tribal communities respond covid 19 visit,0,0
couple home used travel bus sell candy various localities since lockdown income covid 19,0,0
indiafightscorona 474 new cases mortality maharashtra accounted 40 new deaths staysafe indiawillwin mohfw india drharshvardhan prakashjavdekar icmrdelhi pib india ddnewslive airnewsalerts indiadst,0,0
hong kong spike coronavirus cases,0,1
considerations optimizing supply powered air purifying respirators paprs,0,0
long coronavirus last body air food,0,1
australia coronavirus live updates 30 year old queensland man covid 19 symptoms dies latest updates,0,0
alkaline diet protects coronavirus,1,1
plastic face shields safe alternative cloth masks,0,0
italian president said italy surrendered coronavirus,1,1
covid risk among hospital staff highest among cleaners 34 5 lowest among icu general surgery staff 13 new analysis finds,0,0
even mild covid 19 may produce long lasting immunity,0,0
bus driver china vomits blood becoming unconscious behind wheel,1,1
please join cdc emergency partners information connection epic today 4 pm et special webinar reducing risk covid19 engaging daily life celebrating fourth july participating social activities returning work,0,0
mayo clinic q staying healthy teleworking,0,0
autopsy reveals wuhan doctor murdered sickbed,1,1
news today asymptomatic patients transmit covid low viral load almost 4 months quarantine nothing bolsonaro right beginning vertical isolation always right thing made sense break country avoid contagion everything bankrupt deceased,1,1
tsa 500 employees test positive covid 19,0,0
leftist press begins prepare environment continuation isolation break countries present communism solution ills,1,1
coding coronavirus new guidance replaces rule 1 month ago,0,0
enjoyed great indoors 2020 get commemorative lockdown shirt gt gt gt,1,1
man allegedly selling medical masks 80 denars bus owned skopje public transportation enterprise,1,1
based known novel coronavirus behaves cdc capublichealth expect see covid19 infection people contact recently identified patient especially close prolonged contact,0,0
lockdown hindus kapilmishra ind beingarun28 sambitswaraj sudhirchaudhary amitshah narendramodi,1,1
uk government hold introducing covid19 restrictions mid winter often significant rise deaths january professor carl heneghan cebmoxford told sky news get latest coronavirus updates,0,0
former colombian president current senator lvaro uribe tested positive covid 19,1,1
smokers likely develop severe disease covid19 compared non smokers speak digital health worker florence build quit plan today,0,0
spoke dr jason wang director center policy outcomes prevention stanford university spread covid open public spaces businesses safely,0,0
vaccine covid 19 tried released russia,1,1
coronavirus social happy dances celebrate recovery,0,0
killing virus bacteria uv sterilization ozone intelligent lamp covid19 virus killingvirus bacteria uvc uva uvdisinfection uvlight uvlamp uvsolution uvled,1,1
proud indian muslim man stress muslim rw friends attribute everything bad muslims never stop think muslims like hindus rs 50 000 crore much azim premji donate,1,1
astrazeneca wins fresh u backing race covid 19 treatment pic twitter com 8cruj8v5fp,0,0
diet drinks heart favors,0,0
veterinary labs help human covid testing meet demand 700k daily tests,0,0
trf 2 overthrows 96h period electoral fund used covid 19,0,0
announcing long term care covid tracker comprehensive dataset covid 19 long term care facilities unisted states,0,0
bakes petralha virus wrong group post,0,1
major spike covid 19 cases icmr reported total 16 365 individuals confirmed positive country,0,0
covid 19 far southkorea reported total 82 cases virus,0,0
persons blood type prone coronavirus,1,1
post contains covid 19 conspiracy theory written former south carolina rep trey gowdy,1,1
total number confirmed cases covid 19 1207 number report woman 20s travelled afghanistan via dubai arrived july 14 flight ek448 dubai auckland,0,0
guam reported 105 new cases today highest single day number far territory also reporting testing issues dphss reaching storage capacity specimens dphss said delay test results,0,0
noted meteorologist says california wildfires fanned coronavirus coronavirus,1,1
wearamask help slow spread covid19 removing mask handle ear loops ties fold outside corners together careful touch eyes nose mouth wash hands removing learn,0,0
65 people ahmedabad tested positive 11 kanpur 8 lucknow exposed vegetable infected coronavirus,1,1
covid 19 sensor inserted every phone apparently everyone phone disruptions earlier week adding covid 19 trackers phones erted every phone apparently everyone phone disruptions earlier week adding covid 19 trackers phones iphone go settings privacy health yet functional watsapp forward checked android google apple allowed track people freely penalised illegal tracking,1,0
even covid19 14000 young children dying every day mostly preventable causes share equal right survive quality health care healthforall,0,0
standby got little bug squash daily numbers,0,0
breathing water vapor kills novel coronavirus,1,1
blur son bitch goes bastard natural riches amazon need china fret,1,1
decade telemedicine policy advanced 2 weeks,0,0
plane 10 000 covid 19 infected bats pass dublin airport without proper checks,1,1
covid concerns pocket rail passengers,0,0
bolsonaro threatens exit covid 19 kills brazilian per minute pic twitter com 0h84a6439h,0,0
given corona virus pandemic people stay indoors difficult people work public among people come offer digital marketing work like using phone internet digital marketing r 197 look people work home daily payments direct bank accounts pranks winding average 400 reais per day 100 mobile notebook part team call us pv enter information,0,0
pfizer begins covid 19 vaccine trial teens,0,0
100 000 front page thursday washingtonpost point light one life lost covid 19 united states pic twitter com f1tjjcdzbn,0,0
video patients dancing covid 19 quarantine centre mumbai,1,1
lock exit bump corona cases 40k present official report 21700 also doubt still tested corona cases like germany already v r equivalent france corona cases health infrastructure enough save poor 2,1,0
drinking hot tea prevent coronavirus infection,1,1
northern ireland records new covid 19 cases first time since lockdown,0,0
fda warns painkiller risk pregnancy,0,0
fresh tests 23 year old girl quarantine medical college imphal since march 23 showed still covid 19 positive tuesday though general condition stable according media reports,0,0
another way look new york daily deaths major component u deaths least today large increase deaths states territories,0,0
jamiehartley10 wear mask stop getting cold flu etc covid gonna make either drink dettol breakfast,1,1
military humvee labeled covid 19 quarantine team interstate 696 michigan,1,1
photo biography boy died coronavirus,1,1
kante prepared miss rest season due covid 19 concerns reports pic twitter com 8m0bd1nbgg,0,0
russian president vladimir putin released 800 lions tigers across russia devour anyone comes stay home die hard goat,1,1
famous french blue cheese roquefort medecine covid 19,1,1
jair bolsonaro new coronavirus,1,0
central indian government likely reduce age retirement government employees 50,1,1
united states given ugandan government usd 25 million pay every adult usd25 month 3 months,1,1
wasting valuable resources amp risking millions lives time whatever releases even vaccine signed executive order proclaim eua bs calls cure could actually lysol thinks okay injecting poison,1,1
corona beer may changing name mexico coronavirus beer coronabeer,1,1
image poster states indian religious leader mata amritanandamayi hidden foreigners hermitage allowed tested,1,1
people infected new coronavirus one afraid,1,1
coronavirus uk cases hit four month high second day row,0,0
want die corona,0,0
photos claimed show 1 200 people buried italy,1,1
coronaviruscrisis 22 test reports received saturday resulted negative covid 19 noida,0,0
telangana india chief minister violated lockdown norms distributed gifts among muslims celebrate ramzan,1,1
better corona virus gay,0,0
93 covid 19 cases state illinois come chicago,1,0
pleased announce inclusion two new laboratories lagos amp ogun established weare54gene collaboration state governments amp ncdc brings number laboratories molecular lab network 17 amp expands national testing capacity,0,0
aiims indian medical institute team said toddy medicinal properties cure coronavirus,1,1
facebook post serena williams interpreted tennis champ,1,1
indiatodayinsight monsoon commenced mumbai brihanmumbai municipal corporation yet carry thorough cleaning drains snake cramped lanes dharavi remains covid hotspot mandardeodhar4 pic twitter com pi98r9wbh0,0,0
wuhan property prices take dive china coronavirus property wuhan,1,1
vitamin c prevents coronavirus,1,1
covid 19 case ethiopia,1,0
3 covid 19 cases found gautam budh nagar coronairusoutbreak uttarpradesh live updates pic twitter com dqfbc0srf2,0,0
queensland issued travel warning wuhan chinese populated areas australia,1,1
british company directors investment hiring intentions sank lowest three years last month even broader confidence edged slightly record low struck last month covid 19 restrictions greatest,0,0
white house cdc odds airport screening,0,1
news boris johnson proposes moonshot plan defeat covid using jedi space magic,1,1
lingering damage caused covid suggests thousands long haulers u sick extended periods time doctors believe possible connection myalgic encephalomyelitis chronic fatigue syndrome cfs atlantic,0,0
bollywood actor shahrukh khan donated 45 crore 450 million rupees pakistan,1,1
last data point today even holiday weekend florida numbers alarming state reported 10000 new cases three last four days still data current covid 19 hospitalizations fl,0,0
headline claims north macedonia received medical help european union,1,1
503 new cases covid19nigeria lagos 153 ondo 76 edo 54 fct 41 enugu 37 rivers 30 benue 24 osun 20 kaduna 15 kwara 13 abia 9 borno 8 plateau 6 taraba 5 ogun 3 kano 3 kebbi 2 nasarawa 2 bayelsa 1 gombe 1 29879 confirmed 12108 discharged 669 deaths,0,0
long coronavirus live air packages,0,1
video row passengers cabin crew board plane viewed tens thousands times multiple facebook twitter posts claim filmed air india flight posts claim video shows airline failed enforce social distancing measures coronavirus pandemic,1,1
expert outbreak medicine sage adviser prof calum semple says positive move government adopt stay home message adds eat help scheme bordering experimental kayburley,0,0
nyc ambulances take cardiac arrest patients,0,0
man decides yoga coronavirus lockdown yoga,1,1
infectious diseases z novel coronavirus outbreak,0,1
questions coronavirus get touch want know covid 19 get answers bbcyourquestions,0,0
uk covid 19 death toll rises 28 131 shadowing italy pic twitter com qrc0usgkye,0,0
metformin may lower risk fatal covid 19,0,0
graphics shared thousands times social media claim show exact probability covid 19 carriers spreading disease another person wears mask,1,1
stop enjoy pain next 30 days make tick calendar every day feel urge postpone 10 min throw away packets garbage corona excuse enough visit shops get safety near ones,1,0
president trump official spokesman goya beans donaldtrump coronavirus spokesman goyabeans,1,1
facilitate understanding zezinho company employs 20 employees em employee earns 2500 00 go zezinho monthly 50 000 00 expense payroll quarantine corona virus zezinho 4 months unable start business president asked zezinho able pay 4 months salary employees 200 thousand reais business producing zezinho unfortunately mr president zezinho go bankrupt leave 20 unemployed people president suggested temporary suspension employee employment contracts following condition employee receive minimum wage government costs half company half remember restoration normality employment contracts resume current conditions pedrinho employee zezinho quarantine 24 hours tv globo pedinho found absurd earn one minimum wage period inced based went porch hit pan scream bozo negative repercussion coup press deceived pedrinho president canceled mp trushed chest chef shirt pedrinho asks president situation save bozonaro pedrinho negotiate directly boss pedrinho take iphone bought 20 installments last christmas sends zap zezinho good morning seu jos good morning pedrinho really wanting talk please come office arriving office surgical mask pedrinho sits boss table cleans hands gel alcohol listens unfortunately able pay close company keep paula fernanda ricardo rest unfortunately fire subscribe,0,1
video businessman assures hydrogenated alkaline water improves symptoms covid 19,1,1
covid 19 came chinese people eating human babies effort improve skin,1,1
total number coronavirus cases dharavi reached 28 four people died due deadly virus far maharashtra mumbai covid 19,0,1
indiafightscorona tita launched digithon covid 19 online clinic offer medical assistance people believed symptoms coronavirus rural areas ashi indiatoday,0,0
message states asymptomatic person healthy person someone virus body developed antibodies called attenuated virus means dominated virus thanks healthy lifestyle habits person spread virus communicates antibodies rest people generates herd immunity,1,1
coronaviruscrisis clinically proven covid 19 infecting dreams watch report itvideo pic twitter com grzopxonkk,0,0
doc suspended exposing poor social distancing practices,0,0
january 2020 doria covas create coronavirus crisis committee sp january sao paulo already 3 cases people symptoms coronavirus returning china later month doria created called crisis committee pandemic,0,1
lifetime sars cov 2 12 hours,1,1
tannins wine used combat covid 19,1,0
video recorded empty holb k hospital shows coronavirus conspiracy covid 19 patients,1,1
new legislation introduced enforce local lockdown one english city tackle spike covid 19 cases,0,0
65 older higher risk getting seriously ill coronavirus learn take steps protect slow spread covid19,0,0
world economic forum fascist cabal manipulating coronavirus,1,1
worried weight gain covid 19 alone,0,0
trump social distancing efforts last months,0,0
george soros one people responsible new coronavirus born laboratory,1,1
assam sanitising quarantining overdrive along route taken u tourist tour state leaving bhutan tested positive covid 19 march 5 coronavirus coronavirusoutbreak,0,0
sinclair broadcast group delaying airing interview conspiracy theorist baselessly claims dr fauci created coronavirus,1,1
covid 19 patients mild symptoms home see conditions ndtvnewsbeeps pic twitter com yozw8ww3wr,0,0
without concern corona,0,0
breaking news fda revoking emergency authorization 2 malaria drugs covid 19 promoted president trump calling unlikely effective pic twitter com qpjmgl34sy,0,0
get updates covid19 listening state local authorities cdc stay informed avoid much news pandemic takebreaks news social media,0,1
3 2000 tests conducted daily lagos amp 1000 daily fct end week 4 isolate patients within less 6 hours confirmation positive results 5 ensure isolation confirmed case covid19nigeria,0,0
today white house coronavirus task force briefing vice president pence said almost inarguable testing generating cases accurate,1,0
newmom breastfeeding many health benefits amp baby including protecting baby illnesses amp providing best nutrition breastfeed even covid 19 covid19 unlikely spread thru breast milk,0,0
indiafightscorona union health ministry urges states uts ensure restriction imposed movement medical oxygen states pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive airnewsalerts icmrdelhi mygovindia,0,0
voyager pad clopidogrel adds benefit rivaroxaban aspirin,0,0
coronavirus sexually transmitted,1,1
contact tracing aims identify alert people come contact person infected covid experts recommend tracing contacts someone tests positive covid within 48 hours contain potential transmission,0,0
respiratory disease passes relatively easily people covid19 outbreak started urgent need get advice information training equipment frontline workers drtedros,0,0
nearly 330 million people united states according trump white house conducted 5 4 million covid 19 tests abysmal donald trump needs scale testing needs immediately,1,0
member tablighi jamaat roaming naked misbehaving hospital staff,1,1
cdc finally confirmed covid 19 virus airborne enough maintain social distancing wash hands must wear mask avoid indoor public spaces much possible,1,0
centre suspends 2 delhi govt officers dereliction duty amid covid 19 outbreak coronavirus live updates pic twitter com sjjsqw0t3r,0,0
doctors recovered covid 19 quckly inhaled steam every day,1,1
lockdown telangana extended till 3 june 2020,1,1
vitamin c lately interest researchers fight covid 19 pandemic large doses intravenous vitamin c tried covid 19 critical patients ventilators china,0,0
americans wear masks myths linger poll,0,0
11 10pm 20th april breakdown cases states lagos 376 fct 89 kano 59 osun 20 oyo 16 edo 15 ogun 12 kwara 9 katsina 12 bauchi 7 kaduna 9 akwa ibom 9 delta 4 ekiti 4 ondo 3 enugu 2 rivers 2 niger 2 benue 1 anambra 1 borno 3 jigawa 2 abia 2 gombe 5 sokoto 1,0,0
spread new coronavirus planned rockefellers years ago,1,1
oms says people infected covid 19 without symptons transmit disease,1,1
sreesub well know many pending ratio 1 1 pretty much past days,0,0
hand dryers effective killing coronavirus whatsappforwards always true misleading false satire believe everything see verify sharing become newschecker make mainbhinewschecker signature,1,1
facebook user claims melinda gates divorced husband bill gates wanting destroy africa,1,1
claim coronavirus new canine coronavirus vaccine since 2001,1,1
uk hospital death toll covid 19 rose 847 14 576,0,0
yet known numbers lower bound number tests missing total test numbers big states filled thanks tx data going uncaptured private lab testing,0,0
conspiracy theory audio covid19 testing india circulating whatsapp allegedly mla geeta jain connectgeeta quick factcheck find minister already clarified,1,1
facebook post said one politician died virus false former republican presidential candidate herman cain perhaps well known u politician die complications covid 19,1,1
dr megha vyas pune india died due covid 19 treating covid patients,1,1
death due covid 19 israel mix lemon baking soda tea combination kills coronavirus,1,1
fill 2020 u census form receive economic stimulus payment,1,1
migrant workers travelling special shramik trains wasting food,1,1
sick,0,0
per mohfw india covid19 clinical management protocol fatigue amp myalgia muscle pain reported symptom covid covid 19 covid covid 19 covid 19 covid19india corona coronavirus coronavirusindia coronaviruspandemic,0,0
self check test coronavirus,1,1
plexiglass stop covid,0,0
image covid 19 infected person throat,1,1
3 16 20 macron announced quarantine cities france announce later day passage stage 4 epidemic,1,1
covid 19 private airport operators association approach government request allow levying nominal passenger facilitation charge part airline fares coronavirus covid19,0,0
man contracts covid 19 eating mutton,1,1
indiafightscorona effectively implemented policy testtracktreat ensured active cases less 1 4th total covid19 cases higher number recoveries amp declining fatality shown india graded strategy worked,0,0
lessons learned australia needs avoid second covid 19 wave,0,0
households living close quarters,0,0
claim dr fauci said every american microchipped,1,1
change national picture since june 15 less 19k new cases reported stunning movement really began south late may dot right chart may 29 memorial day,0,0
case coronavirus caserta,1,1
update suicidal man seeks coronavirus infection,1,1
opinion targeting asians asian americans make harder stop covid 19,0,0
brazil removed public view months covid 19 data president jairbolsonaro defended delays changes official record keeping world second largest coronavirus outbreak,0,0
pm modi dressed like marriage reception visit hospital recently despite covid 19 pandemic country,1,1
fran amp da fran opens investigation epidemiologist didier raoult receive threatening garcia published 1 day ago 29 03 2020 tha garcia mp da france opens investigation epidemiologist didier raoult receive threats 16 image nice matin maxppp investigation opened france french doctor epidemiologist didier raoult receive threats afp said raoult responsible studies recommendations chlorine treatment chinese virus infected patients treatment obtained positive results countries started treatment investigation progress intimidation death threats nantes public prosecutor pierre senn told afp raoult filed complaint intimidation person accused public service mission intimidations invoked telephone would following stop talking bullshit 14h tomorrow otherwise see less 4 hours remove chloroquine deserves investigation also investigation criminal offense court source told afp initially opened marseille prosecutor office investigation transferred public prosecutor nantes domicile alleged author marseille promoter dominique laurens told afp according french newspaper la provence investigation opened threats received professor raoult march 1 2 phone used may doctor university hospital nantes according french newspaper le canard marseille infectologist didier raoult could contacted directly questioned afp mediterranean university institute ihu said would comment process still progress either france mp opens investigation epidemiologist didier raoult receive threats,0,1
death toll due covid 19 rises 886 cases climb 28 380 india union health ministry pti covid19 healthministry,0,0
indiafightscorona early identification aggressive testing comprehensive surveillance amp contact tracing focus timely efficient clinical treatment patients ensured high number speedy recoveries also kept case fatality rate low,0,0
arizona poster child problem even outbreak continues hospitalizations deaths rise 7 day average tests fallen july,0,0
sars cov 2 may able infect significant number mammals,0,0
image man carrying old mother back shows migrants travelling homes india amidst lockdown,1,1
india health sector ready covid 19 challenge watch 6pmprime rahulkanwal coronavirusoutbreak pic twitter com p1valjyqch,0,0
glass topped tables injure thousands year,0,1
trevor phillips role undermines covid 19 bame inquiry,0,0
meghalaya government wednesday decided shut tourist spots state part measures prevent possible transmission outbreak novel coronavirus covid 19,0,0
immigrants jumping border wall returning home record rate coronavirus illegalimmigrants ford,1,0
group screening could help covid 19 test shortages,0,0
ethiopia declares state emergency curb spread covid 19 pic twitter com j3wfpfzjks,0,0
president trump said covid 19 cases going testing false infections testing positivity rate would going least staying rising,1,0
want help covid 19 researchers leave living room,0,0
coronavirus buy anything totally useless chinese yuan becomes merely paper trash china coronavirus economy wuhan,1,1
says daniel radcliffe coronavirus,1,1
police free entry houses buildings malaga identify possible coronavirus infected people,1,1
drugs treat covid 19 long take develop coronavirus,0,0
silver solution used strains coronavirus totally eliminate kills deactivates,1,1
chinese eating octopus surviving coronavirus,1,1
el pa publishes renfe proposing erte employees due coronavirus,1,1
leaked covid 19 commission report calls australian taxpayers underwrite gas industry expansion,0,0
central government given permission schools open,1,1
pink eye often symptom covid 19,0,0
u outdone europe controlling covid 19 covid 19 less deadly u europe,1,0
communist governors mayors naughty lose waiting bought damn china increase number deaths chinese virus going kill boy confirm examination right devil thing long live curse,1,1
shanghai quarantine arrive mid high risk covid 19 areas china pic twitter com 1lxedd4u5o,0,0
mmwr public health response coronavirus disease 2019 outbreak united states,0,0
walmart kroger amazon target costco reported cases coronavirus news,1,1
indiafightscorona suburban train services also remain suspended till march 31 midnight covid 19india milan reports poulomimsaha,0,0
unitednations chief antonio guterres called setting emergency warning systems pharmacies groceries safe ways women seek support without alerting abusers covid 19,0,0
yesterday laboratories completed 2403 tests total number tests completed new zealand date 441123,0,0
people addiction recovery dealing isolation covid 19,0,0
finally someone wrote everyone needs know coronavirus alexandre garcia 03 04 2020 brazilian society already chosen sacrifice souls die collective good doctors nurses police truckers bakers cleaning free markets food pharmacy porters janitors janitors apartment condominiums garbage collectors gas surveys among others stop take refuge homes ask many contaminated covid 19 super human supermulheres professionals mutants immune deadly virus china seedlings delivered slaughterhouse protected mask tnt clothes see small entrepreneurs losing sleep calculating close accounts without sending anyone away part workers guaranteed salaries pass afternoons discussing lack politeness speech president republic watching netflix best series distributing memes barbecue backyards brazil used bolsa familia think sus free brazil fake certificate enjoy beach wants whenever third parties sacrifice comfort convenience bothers appeal let go work ahhhh bolsonaro talks lot shit want president boyfriend want president philosopher want president poet prefer thousand times bolsonaro saying shit surrounded best ministers every republic technical trained people lula dilma 40 thieves prefer bolsonaro disturbed lines lula dilma diplomacy sending money build port mariel cuba financing venezuelan angolan zimbabauana dictatorship congologa buying bankrupt pasadena refinery surrender bolivia instead investing billions improvement sus even ready times like important thing football stadium pantry hospitals home pissing fear china announces surpassed corona back wants lead world spreads fear hysteria wins audience winning long time politicians encourage enclosure elected shadow merchant stf refuses lower salaries precisely politicians samba carnival already shadow pandemic dream presidential chair competence opportunism wake splendid cradle paid costs launched wolves reality usual tramps iphone socialists know oppose tantrum revolutionaries revolted government sponsored work capitalists whose dream boycotting nation headquarters power democratically defeated defeated country victim covid 19 background coup tat progress bolsonaro words scary less people lived two decades looted real thieves lying net watching crazy technical team missing hitting working like never hungry hyenas articulate take place corona risk hunger violence old known chaos promise,1,1
editorial highlights flaws reporting covid 19 research,0,0
highest cases amp highest deaths day pakistan total cases crossed 50 000 ease lockdown keep economy wheel rolling taken coronainpakistan ended everyone needs understand late covid 19 harsh reality take care,1,0
number newly reported covid 19 deaths includes 322 deaths texas state reported today however texas also removed 200 deaths cumulative totals due automation error cumulative counts reflect adjustment,0,0
pandemics happen every 100 years,1,1
huge spike witnessed covid 19 cases delhi watch special report cities majority coronavirus cases breaking ttp pic twitter com dkqxd7ot0w,0,0
